X1,X2,X3,y
2.88,5.0,5.69,1
3.15,3.33,0.25,1
5.94,7.43,8.88,1
0.8,5.76,8.58,1
5.46,5.77,2.25,1
8.09,0.26,1.45,0
3.16,9.3,0.5,1
1.15,4.41,9.11,1
0.09,5.94,0.16,1
3.06,3.68,0.71,1
3.79,8.35,0.35,1
9.8,9.1,4.51,1
4.81,3.77,6.82,1
7.39,8.41,9.18,0
3.84,1.7,8.1,0
9.0,5.03,8.53,0
1.76,5.73,4.66,1
4.13,3.65,3.69,1
7.99,9.48,2.15,1
5.16,3.39,4.58,1
3.04,2.69,3.4,1
4.75,4.74,3.76,1
9.24,2.23,7.64,0
6.99,1.85,5.36,0
5.64,3.77,1.88,1
9.45,3.2,8.41,0
1.5,9.38,1.91,1
4.86,8.09,0.41,1
8.75,6.05,2.69,1
6.14,4.45,1.69,1
9.48,7.19,2.32,1
6.58,2.04,6.57,0
4.94,0.05,0.35,1
8.58,4.44,6.7,0
1.71,8.87,2.45,1
6.11,5.57,7.23,1
4.22,5.03,9.72,0
8.63,5.7,3.58,1
2.7,7.91,4.21,1
5.44,8.18,5.19,1
3.87,2.55,3.02,1
2.3,4.76,9.78,1
3.68,7.54,6.17,1
5.21,2.46,3.33,1
2.27,5.63,6.72,1
4.98,4.46,0.16,1
2.83,0.6,4.47,1
3.68,9.05,6.71,1
3.23,4.01,0.76,1
9.72,1.63,7.28,0
9.83,4.0,9.79,0
2.38,3.16,5.77,1
6.22,4.68,0.71,1
4.65,4.7,4.24,1
9.19,3.47,3.57,0
5.77,7.96,7.94,1
5.92,4.09,2.61,1
7.79,1.43,5.14,0
9.29,6.38,2.21,1
0.58,5.47,4.5,1
2.2,1.55,4.27,1
5.38,7.95,3.48,1
7.2,0.28,9.85,0
5.19,8.44,4.27,1
6.92,7.8,3.49,1
2.89,3.25,1.03,1
2.08,7.38,6.81,1
7.67,4.26,8.63,0
6.48,5.93,0.55,1
1.93,3.03,8.76,1
9.3,0.81,2.39,0
5.54,5.97,3.07,1
2.26,3.96,0.21,1
0.47,1.95,0.31,1
8.32,7.82,2.42,1
2.51,6.46,1.06,1
2.38,5.05,3.81,1
9.34,6.18,7.97,0
9.16,2.19,7.39,0
1.84,6.54,2.07,1
6.67,1.62,0.19,1
2.91,6.74,4.29,1
2.93,3.41,7.0,1
5.05,3.22,8.6,0
7.16,4.15,1.22,1
2.35,1.61,4.08,1
9.08,1.98,4.3,0
4.14,0.97,2.58,1
9.08,8.44,6.16,1
3.15,8.3,2.7,1
8.59,2.33,5.56,0
7.37,0.26,7.26,0
2.01,7.88,10.0,1
0.6,4.26,5.15,1
7.41,5.16,3.66,1
6.15,5.69,2.99,1
0.73,4.77,8.67,1
1.09,5.54,5.32,1
1.64,6.21,2.27,1
5.57,3.69,0.83,1
6.16,2.21,5.06,0
6.51,7.24,3.47,1
7.85,9.33,6.23,1
6.96,2.83,2.93,0
9.32,0.99,1.35,0
3.44,3.79,6.66,1
6.13,6.57,5.24,1
8.87,9.41,9.67,0
1.73,8.01,4.24,1
9.48,3.99,3.8,0
5.23,3.19,2.86,1
1.16,6.91,1.23,1
5.9,8.97,4.47,1
7.82,5.56,7.43,0
2.6,2.28,8.34,0
9.69,9.86,2.0,1
8.52,0.32,6.66,0
6.66,5.29,5.55,1
3.3,2.6,1.42,1
4.93,8.12,9.9,1
2.42,4.75,8.45,1
1.69,2.99,2.44,1
9.05,7.79,4.38,1
4.25,3.71,5.9,1
9.76,2.14,3.32,0
5.76,5.32,0.23,1
4.95,6.19,1.61,1
0.44,7.58,8.11,1
8.76,0.16,6.74,0
8.13,0.5,1.59,0
4.06,6.61,6.33,1
4.97,7.79,3.58,1
7.85,1.93,1.5,0
1.19,6.66,5.96,1
4.81,5.75,9.19,1
7.78,3.32,8.11,0
1.75,9.05,3.64,1
3.87,3.04,3.92,1
4.66,8.53,2.81,1
3.21,5.49,5.63,1
0.98,3.31,8.62,1
0.11,6.07,0.07,1
8.37,4.8,3.5,0
1.45,9.78,7.13,1
7.66,3.5,3.92,0
8.78,6.23,9.67,0
3.87,9.94,5.95,1
8.86,6.95,1.03,1
3.56,6.05,4.58,1
9.95,3.58,1.93,0
0.14,6.15,3.5,1
8.81,8.33,2.04,1
2.64,2.67,1.08,1
2.14,7.83,7.04,1
5.22,8.98,8.08,1
9.41,3.64,0.47,0
6.27,8.64,7.65,1
1.12,2.84,6.32,1
3.18,3.04,6.12,1
6.03,7.55,7.91,1
5.09,7.93,9.87,1
9.93,4.41,4.12,0
7.01,2.88,7.26,0
1.0,3.97,7.34,1
9.13,0.85,4.53,0
1.72,1.22,5.63,1
1.86,7.4,7.83,1
9.16,0.66,7.83,0
3.98,9.76,3.02,1
1.39,0.02,4.57,1
3.02,1.79,5.86,1
1.92,3.29,2.88,1
2.74,2.8,5.33,1
1.23,2.08,6.13,1
4.77,7.17,8.63,1
3.51,2.92,2.92,1
4.81,9.49,9.35,1
6.25,6.62,5.91,1
7.83,1.98,6.46,0
7.79,5.72,7.09,0
6.04,1.92,4.06,0
3.17,7.03,9.32,1
0.2,1.49,5.85,1
3.17,5.81,0.73,1
7.45,0.21,8.15,0
4.66,8.17,4.67,1
3.16,9.85,0.93,1
1.46,9.67,1.57,1
0.52,7.11,5.84,1
1.78,9.26,2.28,1
1.9,8.98,8.83,1
8.61,8.72,6.71,1
3.64,3.92,3.05,1
7.89,4.51,3.67,0
6.24,4.42,9.63,0
1.43,3.47,5.08,1
5.51,4.94,5.92,1
9.87,8.9,0.16,1
6.54,0.3,0.91,0
5.02,5.7,4.96,1
0.34,0.53,0.48,1
3.49,2.83,0.24,1
7.46,7.76,5.95,1
3.04,5.35,9.57,1
8.05,0.66,3.96,0
1.21,0.81,6.89,1
8.31,4.15,9.62,0
6.14,3.46,6.66,0
6.9,7.96,4.68,1
2.28,1.64,4.18,1
2.7,0.84,0.4,1
6.23,3.4,1.16,1
6.0,6.34,9.56,0
8.0,0.89,9.26,0
9.22,0.4,3.93,0
5.29,2.23,5.9,0
6.83,7.45,3.69,1
8.19,4.2,5.91,0
6.54,7.59,7.55,1
4.82,9.64,7.44,1
8.29,8.51,1.08,1
6.41,4.17,8.87,0
5.41,2.36,4.07,1
