X1,X2,X3,X4,X5,y
0.91,6.46,8.59,2.72,1.39,0
4.93,7.69,8.15,9.22,0.97,0
6.79,5.52,2.97,6.1,0.06,0
5.18,2.71,2.16,4.02,3.45,1
5.76,1.14,7.7,6.77,3.52,1
9.13,4.65,2.05,3.79,2.86,1
9.97,1.35,7.82,4.02,4.6,1
7.24,4.13,9.51,3.32,2.07,0
6.86,6.7,8.95,6.13,5.24,0
1.81,1.01,4.77,5.51,4.96,1
3.99,6.96,9.63,7.05,5.23,0
4.88,8.03,8.56,3.37,6.63,0
5.86,0.2,7.79,4.52,1.04,0
3.92,8.02,5.94,7.59,1.99,0
1.64,4.24,6.12,0.33,5.48,0
0.96,0.12,8.47,0.89,4.39,0
6.64,8.82,7.49,2.89,9.83,1
4.16,5.93,3.55,4.27,0.09,0
1.33,1.22,8.64,3.59,4.92,0
6.68,8.11,0.82,3.06,2.41,0
6.33,2.19,2.98,3.62,7.37,1
2.25,9.69,0.42,5.71,9.05,1
6.85,1.88,9.77,7.3,3.49,0
0.39,4.63,1.55,1.09,0.23,0
7.81,9.13,9.67,6.37,5.54,0
7.66,3.67,5.9,2.07,3.82,0
8.26,7.87,3.52,1.24,3.05,0
8.26,4.53,4.28,3.16,0.38,0
6.54,4.2,2.64,5.94,2.75,1
1.36,9.99,0.46,2.74,6.1,1
1.99,7.73,9.6,0.63,1.43,0
0.85,0.07,6.14,4.43,8.72,1
9.09,3.63,2.94,9.92,3.59,1
8.62,3.78,0.43,3.08,8.8,1
1.04,0.48,0.15,8.54,0.84,1
8.22,5.43,9.49,9.25,6.65,1
3.22,3.31,2.8,4.69,3.73,1
3.11,4.84,8.53,6.12,9.04,1
8.16,8.3,9.16,0.62,4.06,0
5.59,4.36,6.36,0.29,9.02,1
5.8,3.96,2.44,0.93,4.13,0
6.34,3.75,1.8,8.22,4.59,1
6.83,8.66,8.6,9.32,1.37,0
2.83,6.72,7.3,1.91,3.71,0
0.74,9.09,4.12,6.52,8.87,1
2.29,3.13,0.85,4.15,8.49,1
6.38,2.21,1.81,7.5,9.83,1
3.21,5.71,0.66,3.26,1.27,0
5.65,0.55,0.39,1.69,5.24,1
4.44,6.32,1.02,3.21,2.59,0
9.22,8.83,5.16,4.39,0.45,0
5.28,7.86,2.27,0.29,1.24,0
2.0,8.39,0.93,4.81,6.49,1
5.36,1.38,5.52,8.9,5.8,1
8.71,7.68,5.53,5.33,4.44,0
3.17,9.72,1.55,0.21,7.4,1
9.84,4.79,0.14,8.31,2.73,1
1.84,0.06,6.14,0.3,5.54,1
0.87,7.88,6.97,1.19,2.55,0
7.19,3.34,4.13,4.17,9.58,1
2.65,5.34,3.69,2.11,4.96,0
2.65,7.16,1.2,4.95,3.69,1
5.41,4.34,2.32,2.92,7.35,1
0.92,6.13,7.37,1.87,2.46,0
6.9,7.8,2.94,3.57,0.85,0
4.03,3.13,7.73,7.7,6.24,1
4.79,2.41,3.77,9.05,9.74,1
5.78,4.17,5.24,9.99,3.99,1
2.71,4.19,9.68,1.94,3.82,0
3.93,9.66,0.85,6.31,7.92,1
1.75,1.25,2.82,4.45,1.43,1
0.27,0.78,6.45,9.06,3.49,1
6.8,4.26,1.69,6.23,4.28,1
3.74,6.8,0.96,1.32,3.16,0
8.3,4.53,9.24,6.31,7.4,1
3.83,6.66,0.52,5.34,0.9,0
7.66,4.46,7.15,3.46,5.24,0
3.41,6.38,2.46,0.54,2.76,0
0.47,5.96,6.48,7.35,1.87,0
3.8,2.2,8.84,7.77,6.28,1
7.72,7.89,0.4,9.12,4.87,1
2.27,6.59,5.13,2.69,4.8,0
6.99,8.44,0.01,7.59,0.45,1
4.98,9.26,2.66,8.68,0.9,0
5.62,1.53,7.76,3.7,7.09,1
2.11,3.45,8.21,5.5,0.16,0
6.18,8.9,8.53,4.52,5.04,0
4.84,8.32,5.21,3.04,6.11,1
6.39,5.6,7.86,9.47,3.83,1
7.31,0.36,7.64,2.71,0.51,0
8.45,6.61,4.65,6.94,7.18,1
4.22,2.26,0.33,9.23,9.98,1
4.26,5.22,8.57,1.13,5.9,0
5.42,0.79,6.74,5.89,8.12,1
7.26,2.67,4.98,0.56,5.66,0
5.27,3.08,8.25,6.24,1.97,0
3.9,7.6,1.11,5.63,5.16,1
4.36,7.98,6.99,0.74,0.44,0
4.68,8.48,5.49,6.41,3.41,0
7.92,4.55,1.95,3.5,9.8,1
