X1,X2,X3,y
0.77,1.46,1.81,54.59
1.03,0.1,1.48,2.13
1.1,0.39,1.78,8.68
1.29,0.94,0.41,2.03
1.5,0.19,0.72,3.64
1.42,1.02,0.67,1.55
1.67,1.84,1.78,99.79
1.71,1.77,1.01,28.95
1.57,1.43,1.39,15.5
1.51,0.74,1.47,5.43
0.49,1.85,0.35,15.96
1.46,0.96,0.2,5.48
0.24,1.96,0.8,2.22
0.24,1.12,0.8,1.24
1.64,1.33,1.8,24.9
1.73,1.2,0.34,5.76
1.61,1.43,1.08,29.59
0.36,1.13,0.28,2.23
0.04,0.6,0.22,2.34
1.92,1.23,1.56,8.46
0.83,1.16,1.89,16.6
0.01,1.63,0.71,14.11
1.1,1.08,1.11,27.84
1.31,0.56,0.18,2.96
0.62,0.28,1.22,5.09
0.19,0.23,1.33,0.51
0.75,1.15,1.9,22.9
1.29,0.04,1.49,4.52
1.51,1.67,0.13,13.67
1.61,1.88,0.73,20.76
0.43,0.91,0.3,4.26
1.1,1.11,1.04,3.4
1.92,1.74,0.76,14.06
0.92,0.04,0.42,1.21
0.5,0.12,0.95,1.47
1.24,1.49,1.52,25.69
0.64,1.03,1.82,11.66
0.67,1.43,1.08,15.34
1.73,0.16,0.05,3.49
0.5,1.07,1.93,20.18
1.03,0.89,0.62,9.29
1.1,0.14,1.16,5.86
1.93,1.08,1.64,6.32
0.82,0.45,1.26,11.93
1.42,0.58,1.57,7.88
1.88,1.87,0.14,2.19
0.32,1.04,0.49,3.28
1.67,1.79,1.76,25.6
1.4,0.12,1.09,0.49
0.83,0.22,1.68,6.7
0.21,0.59,1.99,9.51
1.02,1.73,0.56,5.8
1.38,1.01,1.13,19.37
1.48,0.61,0.93,6.26
0.18,0.45,0.03,2.35
1.83,1.63,1.2,11.77
1.43,1.71,1.53,18.43
1.07,1.28,0.52,6.52
0.73,0.19,0.11,0.22
1.83,1.21,1.1,19.08
1.33,0.3,1.52,8.66
0.42,0.41,0.33,1.51
1.9,1.58,0.34,37.15
1.89,0.16,1.04,3.83
0.56,1.15,0.93,4.42
1.85,1.2,1.9,9.56
1.47,1.43,1.98,5.99
1.52,0.08,1.23,3.77
1.51,0.08,1.98,2.48
1.83,0.27,1.42,3.74
0.19,0.42,0.09,2.24
1.98,0.16,0.05,13.13
0.25,0.69,0.95,2.48
0.91,1.87,1.08,11.91
0.12,1.1,0.43,2.43
0.56,1.3,1.78,18.38
1.47,1.36,0.3,17.74
1.66,0.36,0.84,1.22
1.54,1.47,0.36,1.19
0.56,1.03,1.64,13.1
0.28,1.5,0.48,8.31
1.9,1.02,0.77,6.52
0.29,0.98,0.65,3.87
1.56,0.69,0.33,1.57
1.56,1.12,0.57,13.23
1.01,0.98,0.74,7.61
0.98,0.35,1.57,1.16
0.24,0.67,0.46,9.5
0.7,1.54,0.85,13.69
1.44,0.29,0.75,0.4
1.61,0.03,1.21,3.48
1.44,1.33,0.77,11.81
1.41,0.83,0.71,5.67
1.2,0.53,0.05,4.98
1.33,1.02,0.86,8.63
0.43,0.92,1.94,14.42
1.0,1.22,0.19,6.41
1.24,0.14,0.87,2.44
1.84,0.96,1.81,17.95
0.51,0.58,0.18,1.99
0.34,1.58,1.58,47.15
0.03,0.83,1.93,3.34
0.97,0.1,1.58,3.0
0.2,1.07,1.0,1.13
0.73,0.65,1.59,3.54
1.42,1.36,0.62,3.92
0.11,1.24,1.91,9.14
0.49,0.83,1.46,6.25
1.67,0.29,1.08,2.96
