X,y
1.96,9.51
7.03,21.66
4.14,16.3
5.77,12.89
7.28,20.3
1.91,10.46
5.73,9.98
6.14,12.43
5.44,27.94
7.93,20.33
5.44,15.82
4.02,16.32
0.82,4.36
7.16,21.51
9.96,26.0
1.43,9.17
1.53,13.59
2.06,11.29
9.36,30.23
8.02,18.72
9.09,20.45
9.67,31.16
7.78,25.16
8.93,15.58
3.12,10.19
4.86,5.09
7.08,17.47
8.96,32.15
7.76,26.35
2.58,9.0
2.67,11.96
0.69,7.74
2.19,15.9
4.76,13.84
1.06,5.1
9.72,23.52
1.16,-3.49
3.81,15.37
5.89,15.71
3.87,20.7
4.62,24.94
0.97,5.1
6.55,8.39
7.04,19.23
8.07,18.21
0.85,8.26
3.54,16.84
9.02,20.63
0.0,1.49
2.73,3.94
1.9,4.85
3.64,15.18
6.37,16.03
8.6,27.26
8.34,16.01
2.15,6.81
1.88,6.4
8.61,24.34
2.82,16.0
1.7,11.31
6.79,12.44
2.6,-0.23
0.89,8.39
7.3,29.69
5.63,23.55
3.97,16.56
1.66,17.56
10.0,34.1
5.45,20.83
8.51,28.4
3.98,18.25
5.54,23.51
2.26,-0.77
7.77,14.15
6.86,25.87
6.46,21.37
8.28,23.22
5.07,19.46
7.39,18.34
5.94,17.23
0.16,5.57
2.48,13.65
0.86,4.27
4.62,20.98
1.05,10.22
7.92,25.19
4.56,17.77
2.67,13.93
5.19,23.79
7.19,23.07
9.77,27.54
7.45,25.71
0.16,1.82
2.89,6.88
8.35,14.27
0.89,9.15
7.04,18.32
0.43,-3.39
7.12,22.24
1.36,-5.91
7.95,20.66
0.82,1.1
1.43,7.99
3.17,12.76
6.47,18.25
6.15,18.77
5.99,21.73
3.46,6.51
6.11,24.81
4.95,13.71
7.6,24.92
9.93,23.93
6.44,22.52
2.86,22.33
8.31,21.74
2.69,9.6
0.39,-1.2
7.08,19.75
6.76,17.97
3.49,9.85
0.87,2.75
2.5,12.74
2.58,10.37
0.66,5.47
3.57,21.62
6.93,25.87
5.79,22.7
3.59,14.62
2.53,9.16
2.4,8.93
9.62,40.41
8.92,30.13
9.09,32.28
1.84,8.27
4.44,13.02
2.95,12.7
0.08,7.18
3.09,11.84
1.29,-3.2
9.37,32.33
8.13,27.8
6.48,20.06
1.33,-0.21
2.08,15.02
0.42,1.65
5.48,25.55
5.54,20.74
9.56,30.57
6.41,17.03
6.62,13.88
4.29,8.77
6.49,14.92
8.62,26.46
6.84,24.9
2.21,5.9
9.85,29.12
5.41,28.94
0.95,1.66
9.94,23.46
3.66,10.07
0.97,3.66
5.23,17.28
5.69,16.06
0.07,6.3
0.91,2.74
9.62,32.56
2.61,15.34
0.26,5.41
9.26,38.08
3.86,17.11
5.47,13.22
5.43,17.05
0.73,20.1
1.97,5.22
7.64,24.94
6.74,23.03
7.79,28.57
2.46,16.06
2.71,8.18
1.82,11.92
7.27,19.27
8.76,34.54
8.21,22.83
3.18,9.58
5.93,22.24
7.62,32.5
2.1,1.43
8.09,31.78
9.83,27.86
0.97,7.87
5.1,9.84
1.21,8.61
6.42,23.23
3.33,11.52
9.83,30.01
4.03,19.95
5.51,20.39
7.81,18.91
7.1,25.08
9.93,23.89
0.82,8.34
9.55,39.96
2.98,0.86
5.44,19.94
7.75,21.5
1.8,2.79
6.49,18.37
8.54,24.11
7.09,21.65
6.53,20.95
8.18,24.42
7.87,25.5
2.76,9.2
0.12,8.34
4.3,5.53
5.46,13.65
0.22,-0.65
4.88,14.31
4.11,16.04
6.76,19.65
9.23,23.13
8.17,24.68
6.11,20.54
4.14,14.09
2.07,17.4
7.29,15.54
8.72,27.31
9.64,22.84
8.6,27.7
2.36,6.11
1.27,9.64
7.56,30.9
7.36,30.52
1.49,13.8
8.87,22.25
2.3,11.03
8.09,25.88
9.49,26.76
3.64,15.18
6.83,19.91
