X1,X2,X3,y
1.16,8.83,1.67,0
3.58,1.13,3.78,1
3.53,3.54,2.12,1
2.78,1.63,6.7,1
1.14,2.53,7.12,1
4.62,1.5,9.76,1
8.52,3.1,1.78,1
1.89,8.27,0.2,0
0.18,4.84,4.86,1
2.37,3.78,1.68,1
4.05,0.32,8.88,1
1.91,2.72,1.3,1
6.59,8.71,7.25,1
1.25,3.62,8.49,1
3.33,9.48,5.05,1
6.74,2.96,7.27,1
2.54,1.42,6.39,1
8.18,3.9,1.96,1
7.15,2.72,4.97,1
5.96,1.59,7.88,1
9.96,8.17,1.53,0
0.48,0.99,2.25,1
0.04,7.97,9.47,1
2.57,8.22,6.97,1
0.71,3.22,9.71,1
3.45,9.83,1.04,0
2.91,4.29,7.0,1
8.27,2.55,4.21,1
5.09,3.8,0.82,1
0.81,0.93,0.15,1
3.2,6.14,9.91,1
0.71,0.12,7.53,1
8.69,9.99,0.73,0
4.42,4.07,5.17,1
0.58,2.88,1.74,1
2.74,6.7,2.57,1
1.14,4.62,7.57,1
6.85,0.05,2.73,1
9.25,2.14,5.69,1
6.34,2.19,0.92,1
3.99,5.36,8.16,1
3.26,0.38,7.67,1
8.57,6.03,8.64,1
0.26,2.69,6.93,1
2.03,5.63,3.2,1
0.51,8.36,8.18,1
8.84,8.83,2.87,0
9.82,0.52,4.27,1
1.02,6.15,8.91,1
6.54,4.88,4.12,1
8.35,5.41,0.63,1
7.57,9.16,7.95,1
2.77,3.46,4.62,1
2.76,4.6,5.77,1
1.36,3.3,4.54,1
7.96,6.89,9.95,1
4.39,9.97,4.87,1
8.96,1.56,6.82,1
8.65,2.38,5.43,1
3.37,3.49,0.21,1
0.08,7.66,6.2,1
10.0,1.09,9.79,1
1.74,2.27,1.42,1
2.67,1.02,3.75,1
6.2,2.7,9.21,1
4.92,9.36,5.34,1
9.82,4.65,1.66,1
2.25,8.35,6.07,1
3.47,6.0,3.15,1
3.64,2.9,1.38,1
9.69,3.86,5.54,1
7.02,1.84,0.44,1
1.82,4.36,4.68,1
2.79,6.09,7.48,1
3.98,0.24,1.81,1
2.21,8.74,4.11,1
2.32,2.8,0.99,1
2.44,0.54,8.75,1
7.52,9.82,4.27,0
0.55,3.9,0.39,1
5.33,2.74,9.07,1
0.4,0.11,9.55,1
8.34,5.67,0.46,0
7.61,7.12,1.42,0
7.75,7.9,2.99,0
8.53,1.02,0.66,1
7.08,2.54,9.79,1
1.93,1.31,9.91,1
5.79,7.71,9.84,1
2.22,1.64,0.05,1
5.84,8.74,9.68,1
2.07,4.21,1.56,1
8.64,0.43,5.94,1
1.82,1.58,0.76,1
5.54,7.6,9.47,1
0.65,1.47,1.72,1
1.87,7.11,5.49,1
3.56,5.84,4.33,1
5.09,0.04,5.13,1
0.7,1.79,6.59,1
9.8,5.48,8.97,1
3.81,7.26,4.47,1
5.32,2.83,8.03,1
0.78,6.22,2.67,1
1.92,2.44,5.87,1
5.54,4.16,7.65,1
4.28,3.51,7.85,1
7.27,6.85,9.61,1
6.94,3.17,9.46,1
4.06,0.33,5.63,1
5.38,7.25,7.64,1
0.55,1.7,7.75,1
