X1,X2,X3,y
1.89,1.32,1.41,89
1.35,0.89,0.33,31
0.95,0.92,0.93,25
0.99,0.62,0.31,21
1.15,1.71,1.3,73
1.55,0.89,0.04,22
0.47,0.64,1.24,20
0.46,1.52,1.52,52
1.49,0.19,0.82,21
0.4,0.79,0.54,16
1.96,0.7,1.8,102
1.95,0.44,1.13,51
1.62,1.44,1.33,95
1.36,0.48,1.58,52
0.03,1.91,1.47,64
0.57,1.91,1.82,121
0.39,1.54,1.58,69
1.04,1.09,1.03,51
0.3,1.14,0.63,16
0.53,0.59,0.6,19
0.89,2.0,1.21,76
0.6,0.39,0.83,22
0.92,0.15,0.15,11
0.59,1.76,1.23,66
0.55,1.68,0.2,24
0.72,0.04,1.39,17
1.77,1.88,0.36,64
0.42,1.36,0.1,26
0.5,1.84,1.42,89
1.66,0.14,0.26,20
1.0,1.02,0.61,27
0.58,1.39,1.73,60
0.15,0.08,1.36,15
0.45,0.48,1.32,31
0.8,1.43,1.68,77
0.49,1.22,1.18,37
0.61,0.85,1.32,36
0.26,0.04,0.84,9
0.63,1.37,1.34,49
1.66,0.48,1.94,68
1.42,0.65,1.39,52
0.91,0.5,1.93,61
1.53,1.94,1.15,123
0.82,1.38,1.08,56
1.8,0.39,1.21,46
0.94,1.44,1.85,106
0.04,0.96,0.33,16
0.22,0.38,1.31,24
0.49,1.93,1.0,51
0.81,0.45,1.28,35
1.88,0.55,0.56,30
0.47,1.73,1.92,105
0.88,1.6,1.08,75
0.07,0.0,0.63,11
1.49,1.54,1.0,84
1.05,0.69,1.43,51
0.36,1.1,0.93,32
0.23,0.88,1.24,25
0.43,0.3,1.57,28
0.95,1.88,0.04,38
1.45,0.79,0.43,16
0.36,0.89,1.08,37
0.19,0.26,1.68,19
1.86,0.23,0.85,24
0.4,1.93,1.92,120
1.95,1.86,1.05,135
1.08,0.36,1.13,30
1.92,0.59,0.97,54
1.1,0.63,1.69,51
1.46,0.44,0.03,15
0.29,0.97,0.48,15
0.47,1.88,1.16,66
1.71,0.09,0.01,14
1.76,1.57,0.86,89
1.65,1.71,1.8,199
0.1,1.1,0.78,23
1.71,0.24,0.58,20
0.77,0.63,0.85,19
1.69,1.58,0.32,46
1.94,1.51,0.12,44
0.37,1.55,1.7,82
0.88,0.19,1.66,28
1.64,0.31,1.56,55
0.1,0.23,0.74,12
1.89,1.96,1.95,310
0.94,0.38,1.32,22
1.0,1.91,1.21,84
0.71,1.88,0.33,39
1.03,0.05,0.78,16
1.05,1.02,0.27,18
1.3,1.05,1.4,54
0.15,1.6,1.05,21
1.06,1.41,0.74,46
1.57,1.55,1.73,137
1.43,1.97,0.68,88
0.54,1.07,0.75,26
1.14,1.04,0.93,36
1.78,0.05,0.83,33
0.29,1.71,0.28,20
