X1,X2,X3,X4,y
1.96,2.22,4.37,5.01,9.44
7.03,9.31,8.54,1.26,106.89
4.14,9.51,9.83,0.56,88.52
5.77,9.72,1.78,9.09,61.93
7.28,9.74,1.8,2.03,103.56
1.91,8.42,2.22,2.74,58.31
5.73,5.75,2.78,3.86,65.7
6.14,9.92,5.31,0.02,104.64
5.44,1.66,6.84,0.52,53.04
7.93,6.18,0.82,0.82,93.59
5.44,8.12,4.15,8.72,52.69
4.02,1.5,9.57,2.08,40.31
0.82,1.78,6.95,8.12,-11.19
7.16,0.38,1.91,0.33,53.15
9.96,4.02,6.36,7.37,69.64
1.43,3.81,5.63,6.33,10.87
1.53,2.06,6.33,0.08,29.33
2.06,9.56,3.52,8.06,48.88
9.36,4.51,6.86,5.69,76.25
8.02,6.44,1.97,6.75,74.87
9.09,8.62,2.18,0.42,113.53
9.67,2.16,6.82,4.56,71.24
7.78,3.92,4.5,6.52,54.97
8.93,0.27,1.38,4.89,48.88
3.12,7.18,0.71,8.59,34.95
4.86,1.08,8.02,3.89,33.93
7.08,6.19,3.45,6.84,69.35
8.96,8.21,2.02,1.48,108.74
7.76,1.93,5.12,0.52,65.76
2.58,6.62,4.92,7.06,34.81
2.67,6.33,1.88,4.91,37.42
0.69,2.21,4.37,8.02,-8.86
2.19,2.79,9.99,7.08,5.73
4.76,0.48,2.27,2.51,31.75
1.06,3.49,5.87,6.46,1.97
9.72,5.24,8.66,9.66,65.24
1.16,9.74,8.56,5.77,47.73
3.81,7.58,9.7,3.27,67.35
5.89,3.58,9.85,8.59,33.47
3.87,4.79,1.68,3.58,46.66
4.62,7.42,5.79,1.31,71.26
0.97,3.22,4.16,0.21,34.58
6.55,3.01,8.42,7.53,33.22
7.04,9.02,6.69,2.53,100.77
8.07,9.55,2.06,5.65,99.51
0.85,8.23,6.64,1.22,58.88
3.54,8.99,8.45,5.72,63.4
9.02,7.53,6.62,2.2,104.91
0.0,4.03,4.95,0.09,34.33
2.73,8.02,9.9,5.74,49.44
1.9,1.3,5.78,3.52,12.21
3.64,3.8,2.99,1.09,44.9
6.37,0.25,1.08,1.86,39.74
8.6,2.82,5.54,6.99,52.91
8.34,5.29,1.11,2.24,87.88
2.15,3.38,0.75,8.94,2.12
1.88,7.56,7.66,9.08,30.03
8.61,3.9,7.28,7.53,61.41
2.82,8.98,4.74,4.48,62.39
1.7,0.7,9.08,4.36,7.84
6.79,4.72,0.87,1.57,77.08
2.6,7.01,4.2,6.38,42.08
0.89,4.78,1.05,4.45,25.63
7.3,3.9,5.21,8.69,45.7
5.63,6.13,5.78,3.49,67.51
3.97,1.85,8.58,2.98,32.33
1.66,2.5,9.27,3.69,18.72
10.0,6.68,5.25,7.95,85.32
5.45,2.77,2.54,1.09,51.57
8.51,0.12,1.94,0.6,62.05
3.98,2.26,0.85,4.55,22.71
5.54,4.0,7.36,8.17,34.65
2.26,0.05,9.06,4.66,7.65
7.77,7.31,1.71,7.99,72.26
6.86,6.93,0.98,9.33,58.46
6.46,1.37,1.94,4.19,43.63
8.28,6.71,2.06,3.39,91.5
5.07,1.2,7.82,0.22,49.55
7.39,4.4,3.47,2.24,67.77
5.94,2.94,1.57,9.52,28.18
0.16,2.84,8.39,9.71,-17.31
2.48,0.86,2.95,2.84,18.53
0.86,6.87,7.31,9.51,13.06
4.62,8.04,5.63,5.92,67.83
1.05,4.4,5.79,5.89,15.79
7.92,4.52,7.42,1.23,81.9
4.56,8.06,8.46,1.04,88.26
2.67,0.86,0.69,0.81,25.71
5.19,7.63,3.02,7.77,59.78
7.19,5.77,2.66,1.23,83.96
9.77,6.5,3.93,1.97,103.08
7.45,8.11,7.03,4.07,91.14
0.16,5.76,5.28,2.6,25.87
2.89,6.4,3.86,0.86,57.49
8.35,7.85,4.79,9.9,70.98
0.89,7.93,8.58,7.71,30.11
7.04,7.4,7.61,8.75,67.86
0.43,6.82,7.64,4.29,28.47
7.12,4.53,5.53,2.47,72.49
1.36,4.47,0.71,0.63,35.04
7.95,5.99,1.96,9.31,59.2
0.82,8.82,5.81,6.0,41.34
1.43,8.99,2.68,1.95,62.77
3.17,2.86,0.83,9.92,3.59
6.47,0.66,6.9,0.11,52.86
6.15,0.92,1.18,2.97,40.43
5.99,0.91,9.44,1.97,46.43
3.46,2.07,5.69,2.81,35.42
6.11,9.78,5.92,5.75,87.13
4.95,0.26,8.8,5.9,22.27
7.6,3.51,1.69,2.18,70.42
9.93,1.18,7.73,7.64,50.0
6.44,9.14,4.92,0.91,98.25
2.86,6.43,7.03,3.65,53.05
8.31,8.4,0.29,6.06,89.17
2.69,3.83,2.98,2.59,30.51
0.39,6.56,9.43,4.9,23.02
7.08,9.02,4.57,6.22,86.62
6.76,8.43,5.56,1.17,99.03
3.49,7.51,8.98,8.84,39.56
0.87,5.5,5.8,7.11,10.74
2.5,8.07,8.71,2.91,62.49
2.58,9.33,2.62,8.68,43.77
0.66,3.74,2.84,8.4,-1.28
3.57,1.67,3.14,1.62,30.55
6.93,3.02,6.0,9.82,30.67
5.79,5.4,9.15,3.83,60.58
3.59,3.57,8.73,6.06,29.54
2.53,0.47,1.18,1.26,16.58
2.4,8.65,2.36,1.54,65.57
9.62,2.96,6.92,9.04,53.22
8.92,4.21,9.0,9.98,54.82
9.09,4.15,2.24,9.59,54.86
1.84,5.03,1.75,2.63,32.11
4.44,2.05,6.03,1.76,37.04
2.95,3.07,4.88,3.48,34.2
0.08,9.44,8.39,9.96,24.83
3.09,7.2,5.38,8.19,36.87
1.29,3.59,8.37,7.34,7.17
9.37,0.41,4.53,2.97,58.59
8.13,2.32,1.28,1.03,71.78
6.48,0.77,1.69,1.42,49.12
1.33,2.1,1.9,7.28,-3.5
2.08,6.3,1.78,5.2,36.61
0.42,3.51,1.87,9.97,-10.17
5.48,8.09,8.52,4.3,77.74
5.54,1.47,4.65,0.31,50.01
9.56,6.38,4.63,6.28,90.03
6.41,6.32,4.04,3.73,76.35
6.62,5.29,7.73,8.29,51.29
4.29,3.44,2.37,4.1,38.88
6.49,0.78,2.38,9.04,17.38
8.62,4.0,3.84,6.18,57.9
6.84,1.87,8.94,7.46,30.53
2.21,2.03,7.2,9.43,-4.25
9.85,1.99,0.12,9.33,48.28
5.41,7.46,3.54,8.86,55.3
0.95,1.62,4.71,9.74,-19.64
9.94,0.46,8.46,2.31,71.12
3.66,2.91,4.35,9.46,13.47
0.97,5.88,7.19,0.84,39.76
5.23,6.69,2.32,9.95,38.68
5.69,6.47,2.22,0.47,76.61
0.07,8.8,3.88,9.18,19.73
0.91,1.7,6.83,4.93,5.68
9.62,1.4,2.54,1.96,67.79
2.61,5.28,4.18,1.45,48.79
0.26,5.9,1.44,9.77,-3.37
9.26,9.98,1.01,1.45,127.47
3.86,7.49,1.27,4.49,62.73
5.47,4.78,6.75,5.86,52.83
5.43,8.66,0.88,0.26,93.16
0.73,7.55,0.11,5.71,31.26
1.97,1.05,7.69,3.98,5.06
7.64,5.17,9.88,6.78,62.95
6.74,9.57,7.0,7.47,82.04
7.79,5.57,7.35,5.74,65.82
2.46,3.8,5.2,2.53,37.62
2.71,4.82,7.59,3.82,35.18
1.82,9.43,1.59,9.15,42.05
7.27,0.24,6.33,4.43,36.04
8.76,3.09,4.62,7.61,56.78
