X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,y
1.96,7.03,4.14,5.77,7.28,1.91,5.73,6.14,5.44,7.93,5.44,4.02,0.82,7.16,9.96,1.43,1.53,2.06,9.36,8.02,-44.88
9.09,9.67,7.78,8.93,3.12,4.86,7.08,8.96,7.76,2.58,2.67,0.69,2.19,4.76,1.06,9.72,1.16,3.81,5.89,3.87,-2.3
4.62,0.97,6.55,7.04,8.07,0.85,3.54,9.02,0.0,2.73,1.9,3.64,6.37,8.6,8.34,2.15,1.88,8.61,2.82,1.7,-39.16
6.79,2.6,0.89,7.3,5.63,3.97,1.66,10.0,5.45,8.51,3.98,5.54,2.26,7.77,6.86,6.46,8.28,5.07,7.39,5.94,-56.7
0.16,2.48,0.86,4.62,1.05,7.92,4.56,2.67,5.19,7.19,9.77,7.45,0.16,2.89,8.35,0.89,7.04,0.43,7.12,1.36,-15.66
7.95,0.82,1.43,3.17,6.47,6.15,5.99,3.46,6.11,4.95,7.6,9.93,6.44,2.86,8.31,2.69,0.39,7.08,6.76,3.49,-27.16
0.87,2.5,2.58,0.66,3.57,6.93,5.79,3.59,2.53,2.4,9.62,8.92,9.09,1.84,4.44,2.95,0.08,3.09,1.29,9.37,-16.89
8.13,6.48,1.33,2.08,0.42,5.48,5.54,9.56,6.41,6.62,4.29,6.49,8.62,6.84,2.21,9.85,5.41,0.95,9.94,3.66,14.25
0.97,5.23,5.69,0.07,0.91,9.62,2.61,0.26,9.26,3.86,5.47,5.43,0.73,1.97,7.64,6.74,7.79,2.46,2.71,1.82,42.9
7.27,8.76,8.21,3.18,5.93,7.62,2.1,8.09,9.83,0.97,5.1,1.21,6.42,3.33,9.83,4.03,5.51,7.81,7.1,9.93,15.96
0.82,9.55,2.98,5.44,7.75,1.8,6.49,8.54,7.09,6.53,8.18,7.87,2.76,0.12,4.3,5.46,0.22,4.88,4.11,6.76,-6.79
9.23,8.17,6.11,4.14,2.07,7.29,8.72,9.64,8.6,2.36,1.27,7.56,7.36,1.49,8.87,2.3,8.09,9.49,3.64,6.83,32.34
0.38,8.05,4.25,2.32,0.01,3.27,9.57,4.07,3.42,6.39,3.97,2.31,5.95,6.0,9.7,9.19,9.46,3.41,9.02,8.15,8.63
5.41,5.53,4.39,5.37,9.86,9.11,4.07,4.74,0.68,0.68,8.7,1.46,5.75,8.51,3.06,7.76,7.41,7.15,8.66,5.37,-60.01
6.04,5.17,8.38,5.06,5.37,4.32,9.31,7.9,0.36,5.06,6.16,5.42,8.81,7.36,2.98,9.74,2.21,8.52,9.43,4.59,-19.95
6.71,1.54,7.5,8.07,1.51,1.61,7.13,0.8,1.27,3.78,5.82,9.06,7.84,9.46,3.55,4.72,3.07,4.47,0.39,7.48,-24.8
5.19,5.96,6.41,7.25,7.16,2.05,4.02,9.55,7.1,5.51,3.21,5.93,3.23,0.63,4.05,2.39,1.95,0.05,7.77,3.36,20.62
1.27,6.14,5.68,0.4,3.92,0.24,6.13,0.88,4.42,9.77,3.22,7.84,0.2,1.08,9.01,3.66,9.17,3.9,6.43,9.2,18.82
4.15,7.71,6.5,8.68,8.48,5.06,7.02,6.63,3.51,8.33,1.54,1.35,6.58,4.63,6.96,4.18,4.3,9.48,7.12,7.1,-61.87
6.53,4.59,6.49,8.66,0.73,8.78,7.56,4.94,9.51,0.69,2.79,5.58,3.56,1.35,4.67,1.96,2.71,4.93,6.14,4.61,16.19
5.14,0.1,1.72,2.42,8.07,3.88,3.59,8.51,2.62,5.01,2.0,4.26,7.38,3.83,5.13,8.34,3.36,2.84,3.77,3.68,-37.29
2.59,0.82,7.44,2.98,7.88,2.87,3.02,3.92,6.1,7.04,9.97,3.32,1.43,9.84,8.75,9.26,4.23,7.45,9.47,1.52,-29.77
0.57,8.04,7.53,9.73,4.06,3.0,4.52,8.95,7.69,6.43,9.38,0.2,7.99,7.85,8.1,9.36,9.79,2.98,4.65,8.46,-22.77
9.45,7.63,8.56,9.68,3.49,0.9,8.64,8.36,0.39,9.26,9.63,5.29,6.22,4.52,9.74,1.37,4.96,6.9,6.26,0.47,-8.75
3.61,4.7,3.97,1.19,3.79,4.44,6.52,5.1,5.44,4.23,6.97,0.27,6.08,1.17,5.78,3.38,4.0,8.81,1.02,1.39,-20.34
2.76,6.51,0.83,4.0,8.79,9.96,8.52,9.75,2.35,6.25,7.66,4.58,7.62,0.59,3.23,1.9,0.07,0.49,4.99,9.24,-72.6
4.61,2.4,6.12,2.85,7.8,3.29,6.25,3.58,2.74,0.11,2.45,9.5,0.66,2.18,8.05,2.11,2.33,4.03,6.84,5.62,18.39
9.88,4.64,8.15,5.66,6.94,2.43,9.55,7.03,6.65,6.83,3.23,2.44,6.12,7.36,1.15,7.48,6.62,5.96,2.16,9.2,-53.16
3.7,9.38,3.53,2.5,3.41,8.52,4.21,1.77,4.3,9.25,3.35,0.13,4.79,6.26,3.88,9.14,9.99,5.48,3.06,2.44,-40.27
7.49,2.74,7.95,9.74,0.68,7.92,5.54,0.06,8.19,6.75,5.23,5.35,6.62,9.72,5.64,2.84,3.67,8.51,6.39,6.1,-45.66
1.44,2.18,4.16,6.17,7.43,1.71,5.36,2.1,0.97,7.7,1.38,8.81,1.66,2.58,6.73,6.98,0.12,4.2,2.91,0.37,-14.82
8.44,4.68,0.35,8.42,8.94,4.64,2.74,3.24,9.58,3.44,9.67,2.23,3.02,9.94,3.79,2.16,5.37,7.82,3.54,3.61,-86.11
9.48,5.45,0.06,9.43,3.98,9.55,5.72,3.48,1.88,2.58,3.18,6.37,9.49,2.09,0.76,0.71,8.91,4.22,8.44,1.2,-28.02
5.41,7.89,5.88,1.1,5.06,7.17,4.7,2.87,1.43,7.58,7.25,1.23,2.82,0.34,9.8,8.1,4.43,1.03,3.21,0.9,-0.5
5.99,5.66,1.82,1.14,2.29,9.91,7.68,9.29,0.34,7.68,4.03,3.63,0.41,0.96,8.19,2.3,9.69,2.94,1.53,1.05,-31.63
3.03,7.07,6.6,6.69,1.17,9.07,6.24,4.37,3.92,9.46,5.45,8.98,3.51,9.04,6.05,1.85,7.7,0.27,1.72,4.26,-20.23
7.0,1.97,0.12,6.95,2.01,5.92,0.26,10.0,4.68,4.24,6.55,3.97,5.51,7.82,0.89,1.12,3.12,2.52,6.46,5.02,-57.7
7.55,8.45,1.11,0.58,1.91,3.57,9.44,1.45,5.2,4.04,5.88,7.38,7.37,2.59,9.9,1.67,7.88,2.83,8.07,6.29,29.32
3.78,7.17,0.26,9.22,7.97,2.92,2.64,2.4,4.88,4.75,0.54,1.73,1.73,6.45,6.36,5.16,1.4,4.79,1.56,1.32,-66.13
7.21,8.71,2.53,5.35,2.63,9.0,4.92,5.0,2.95,9.8,8.6,0.91,5.59,7.72,7.12,1.02,4.66,3.15,8.21,8.21,-72.96
1.18,8.92,2.48,2.97,5.54,1.32,7.79,3.12,7.11,1.55,7.63,4.01,3.88,0.43,8.2,7.37,2.5,1.14,4.37,8.93,13.98
0.85,0.62,1.07,1.5,4.81,5.46,3.46,8.41,1.1,6.19,7.19,7.28,9.44,4.17,3.11,8.34,8.0,3.86,2.79,0.27,-12.43
1.3,3.32,8.75,0.45,9.02,9.36,7.54,3.55,7.07,6.15,9.78,1.2,0.09,7.87,1.84,3.01,7.35,1.86,4.58,3.52,-51.56
