X1,X2,X3,X4,X5,y
1.96,7.03,4.14,5.77,7.28,1452.27
1.91,5.73,6.14,5.44,7.93,2170.13
5.44,4.02,0.82,7.16,9.96,5502.27
1.43,1.53,2.06,9.36,8.02,3047.11
9.09,9.67,7.78,8.93,3.12,1236.13
4.86,7.08,8.96,7.76,2.58,-155.11
2.67,0.69,2.19,4.76,1.06,199.7
9.72,1.16,3.81,5.89,3.87,3497.33
4.62,0.97,6.55,7.04,8.07,3010.48
0.85,3.54,9.02,0.0,2.73,-340.63
1.9,3.64,6.37,8.6,8.34,3080.33
2.15,1.88,8.61,2.82,1.7,-245.16
6.79,2.6,0.89,7.3,5.63,2220.48
3.97,1.66,10.0,5.45,8.51,2782.13
3.98,5.54,2.26,7.77,6.86,1875.57
6.46,8.28,5.07,7.39,5.94,1185.72
0.16,2.48,0.86,4.62,1.05,102.72
7.92,4.56,2.67,5.19,7.19,3462.53
9.77,7.45,0.16,2.89,8.35,5232.6
0.89,7.04,0.43,7.12,1.36,-281.11
7.95,0.82,1.43,3.17,6.47,3048.97
6.15,5.99,3.46,6.11,4.95,1225.23
7.6,9.93,6.44,2.86,8.31,2347.23
2.69,0.39,7.08,6.76,3.49,357.71
0.87,2.5,2.58,0.66,3.57,225.72
6.93,5.79,3.59,2.53,2.4,909.42
9.62,8.92,9.09,1.84,4.44,1713.29
2.95,0.08,3.09,1.29,9.37,4052.83
8.13,6.48,1.33,2.08,0.42,1379.96
5.48,5.54,9.56,6.41,6.62,1448.65
4.29,6.49,8.62,6.84,2.21,-198.71
9.85,5.41,0.95,9.94,3.66,3806.67
0.97,5.23,5.69,0.07,0.91,-286.66
9.62,2.61,0.26,9.26,3.86,3766.47
5.47,5.43,0.73,1.97,7.64,2491.5
6.74,7.79,2.46,2.71,1.82,292.1
7.27,8.76,8.21,3.18,5.93,862.72
7.62,2.1,8.09,9.83,0.97,1824.61
5.1,1.21,6.42,3.33,9.83,4941.02
4.03,5.51,7.81,7.1,9.93,4702.38
0.82,9.55,2.98,5.44,7.75,806.25
1.8,6.49,8.54,7.09,6.53,865.89
8.18,7.87,2.76,0.12,4.3,1382.54
5.46,0.22,4.88,4.11,6.76,2079.43
9.23,8.17,6.11,4.14,2.07,1668.51
7.29,8.72,9.64,8.6,2.36,147.12
1.27,7.56,7.36,1.49,8.87,2424.65
2.3,8.09,9.49,3.64,6.83,258.19
0.38,8.05,4.25,2.32,0.01,-917.22
3.27,9.57,4.07,3.42,6.39,-170.76
3.97,2.31,5.95,6.0,9.7,4679.47
9.19,9.46,3.41,9.02,8.15,4136.79
5.41,5.53,4.39,5.37,9.86,5004.1
9.11,4.07,4.74,0.68,0.68,2388.42
8.7,1.46,5.75,8.51,3.06,2690.37
7.76,7.41,7.15,8.66,5.37,1890.76
6.04,5.17,8.38,5.06,5.37,1112.69
4.32,9.31,7.9,0.36,5.06,-799.52
6.16,5.42,8.81,7.36,2.98,623.7
9.74,2.21,8.52,9.43,4.59,3760.83
6.71,1.54,7.5,8.07,1.51,1212.66
1.61,7.13,0.8,1.27,3.78,-304.98
5.82,9.06,7.84,9.46,3.55,-123.57
4.72,3.07,4.47,0.39,7.48,2330.51
5.19,5.96,6.41,7.25,7.16,2088.63
2.05,4.02,9.55,7.1,5.51,564.26
3.21,5.93,3.23,0.63,4.05,125.14
2.39,1.95,0.05,7.77,3.36,593.19
1.27,6.14,5.68,0.4,3.92,-149.79
0.24,6.13,0.88,4.42,9.77,4199.08
3.22,7.84,0.2,1.08,9.01,2817.94
3.66,9.17,3.9,6.43,9.2,2732.62
4.15,7.71,6.5,8.68,8.48,2717.74
5.06,7.02,6.63,3.51,8.33,2564.64
1.54,1.35,6.58,4.63,6.96,1600.91
4.18,4.3,9.48,7.12,7.1,1694.12
6.53,4.59,6.49,8.66,0.73,1131.96
8.78,7.56,4.94,9.51,0.69,2033.06
2.79,5.58,3.56,1.35,4.67,312.92
1.96,2.71,4.93,6.14,4.61,641.97
5.14,0.1,1.72,2.42,8.07,3032.43
3.88,3.59,8.51,2.62,5.01,472.08
2.0,4.26,7.38,3.83,5.13,444.7
8.34,3.36,2.84,3.77,3.68,2206.96
2.59,0.82,7.44,2.98,7.88,2250.01
2.87,3.02,3.92,6.1,7.04,1920.66
9.97,3.32,1.43,9.84,8.75,7088.24
9.26,4.23,7.45,9.47,1.52,2914.09
0.57,8.04,7.53,9.73,4.06,-196.97
3.0,4.52,8.95,7.69,6.43,1213.38
9.38,0.2,7.99,7.85,8.1,5386.73
9.36,9.79,2.98,4.65,8.46,4014.69
9.45,7.63,8.56,9.68,3.49,2511.65
0.9,8.64,8.36,0.39,9.26,2364.41
9.63,5.29,6.22,4.52,9.74,7151.88
1.37,4.96,6.9,6.26,0.47,-127.81
3.61,4.7,3.97,1.19,3.79,280.73
4.44,6.52,5.1,5.44,4.23,316.44
6.97,0.27,6.08,1.17,5.78,1986.23
3.38,4.0,8.81,1.02,1.39,-283.43
2.76,6.51,0.83,4.0,8.79,2972.51
9.96,8.52,9.75,2.35,6.25,2869.33
7.66,4.58,7.62,0.59,3.23,1315.57
1.9,0.07,0.49,4.99,9.24,3941.89
4.61,2.4,6.12,2.85,7.8,2546.66
3.29,6.25,3.58,2.74,0.11,-242.34
2.45,9.5,0.66,2.18,8.05,1028.79
2.11,2.33,4.03,6.84,5.62,1122.69
9.88,4.64,8.15,5.66,6.94,4535.33
2.43,9.55,7.03,6.65,6.83,67.32
3.23,2.44,6.12,7.36,1.15,318.44
7.48,6.62,5.96,2.16,9.2,4591.66
3.7,9.38,3.53,2.5,3.41,-1094.99
8.52,4.21,1.77,4.3,9.25,5856.11
3.35,0.13,4.79,6.26,3.88,589.84
9.14,9.99,5.48,3.06,2.44,748.17
7.49,2.74,7.95,9.74,0.68,1737.48
7.92,5.54,0.06,8.19,6.75,3291.81
5.23,5.35,6.62,9.72,5.64,1592.66
2.84,3.67,8.51,6.39,6.1,1019.28
1.44,2.18,4.16,6.17,7.43,2158.84
1.71,5.36,2.1,0.97,7.7,2000.92
1.38,8.81,1.66,2.58,6.73,299.44
6.98,0.12,4.2,2.91,0.37,1163.62
8.44,4.68,0.35,8.42,8.94,5726.7
4.64,2.74,3.24,9.58,3.44,1113.17
9.67,2.23,3.02,9.94,3.79,3898.45
2.16,5.37,7.82,3.54,3.61,-155.41
9.48,5.45,0.06,9.43,3.98,3463.08
9.55,5.72,3.48,1.88,2.58,2688.76
3.18,6.37,9.49,2.09,0.76,-745.59
0.71,8.91,4.22,8.44,1.2,-859.77
