X1,X2,X3,y
0.65,0.67,1.99,23.72
0.12,0.65,0.99,0.43
0.81,0.24,1.13,2.27
1.07,1.4,1.07,18.46
1.12,0.49,0.38,1.26
1.32,1.63,1.6,1.21
1.23,1.28,1.1,18.77
0.0,0.15,1.75,1.41
0.31,1.35,0.09,5.29
0.84,1.47,0.42,3.93
1.09,0.03,1.01,2.93
0.08,1.4,0.56,3.76
1.74,0.03,0.36,2.43
0.22,1.71,0.11,5.88
0.61,0.69,1.25,4.01
1.45,1.06,1.66,13.2
1.16,0.18,0.85,8.88
0.09,0.32,1.39,8.02
1.86,0.41,1.32,0.28
0.72,0.89,0.5,2.14
1.18,1.04,0.47,9.84
1.74,1.49,1.12,6.23
1.3,1.03,1.26,9.71
0.27,1.07,1.95,0.0
0.01,1.7,1.66,2.96
1.5,1.06,1.16,22.13
0.49,1.71,1.8,5.73
0.7,0.78,0.37,0.0
0.39,1.96,0.39,1.41
0.93,0.0,0.83,0.0
0.73,1.31,0.99,9.91
0.9,0.51,0.62,0.48
0.37,0.91,0.62,0.0
0.58,1.88,1.06,10.22
1.11,1.63,1.56,13.34
1.73,1.28,0.03,18.27
1.47,1.16,1.44,5.46
2.0,0.83,0.87,19.94
2.0,1.32,1.65,8.69
1.84,1.15,1.6,27.44
1.62,1.88,0.77,25.78
1.04,0.91,0.56,3.51
0.38,0.53,0.59,4.19
1.66,0.34,0.39,0.14
0.62,1.5,1.77,4.86
1.4,1.36,1.05,11.18
1.07,1.59,1.56,2.52
0.23,1.88,1.61,3.92
1.63,0.64,1.86,22.91
1.32,1.43,0.49,7.53
1.02,1.75,1.26,2.61
1.33,0.5,1.72,16.5
1.48,0.59,0.86,18.84
1.26,0.22,1.49,2.12
0.21,0.64,1.65,5.48
1.19,1.61,1.61,7.42
0.25,0.14,0.64,1.66
1.64,0.69,0.56,4.63
0.83,0.61,0.3,0.22
0.25,1.01,1.76,2.29
1.05,1.58,1.34,15.29
0.4,0.39,1.23,4.56
0.58,0.43,0.9,0.06
1.54,1.92,1.94,44.87
1.56,1.98,1.95,30.03
1.68,1.83,1.73,22.77
1.25,0.03,1.01,2.22
1.67,1.29,0.24,19.51
1.03,0.48,0.45,1.47
0.45,1.52,1.75,16.96
0.95,1.73,1.47,7.87
1.52,0.05,1.23,34.29
1.0,1.91,1.25,13.57
0.25,1.33,1.91,15.33
0.88,1.85,0.44,0.77
1.68,1.46,0.43,2.44
0.07,1.67,0.78,0.0
1.84,1.78,0.53,12.33
1.64,0.31,0.12,1.7
1.1,1.34,0.72,1.18
1.41,1.17,0.71,9.01
1.56,1.04,1.79,3.69
0.49,1.91,0.22,0.19
0.79,1.61,1.81,18.31
1.71,0.25,1.9,39.25
1.5,0.85,1.56,33.02
0.38,0.62,0.47,3.95
0.41,0.91,1.99,20.35
0.62,1.57,0.92,2.47
1.93,0.61,1.82,27.56
1.85,1.37,0.18,28.61
1.56,0.76,0.92,3.33
0.53,1.8,0.86,3.28
1.47,0.18,1.33,0.0
0.67,0.25,0.12,4.67
0.09,1.33,1.39,7.11
0.53,0.11,1.1,5.21
0.86,0.38,1.99,0.75
0.02,1.63,0.71,3.12
1.01,1.78,0.99,17.12
1.06,1.67,0.01,4.79
1.62,0.55,1.39,11.39
0.91,0.89,0.5,4.6
0.84,1.26,0.57,1.47
1.67,1.47,0.57,7.89
1.11,1.07,0.29,1.82
1.89,1.73,0.62,14.33
0.58,1.99,1.21,4.48
1.83,0.26,0.04,2.63
1.06,0.15,1.06,2.6
0.3,0.37,1.15,1.05
0.19,0.86,0.42,0.12
0.05,0.4,0.06,0.39
0.14,0.89,0.9,18.59
1.58,0.1,1.1,2.78
1.1,0.94,0.05,0.0
1.42,0.68,0.02,0.17
0.26,0.35,1.74,1.18
0.13,0.65,0.42,0.0
0.79,0.48,1.49,3.19
1.64,1.62,1.44,29.1
0.6,0.71,1.77,0.0
1.63,0.55,0.41,1.11
1.48,0.34,0.16,0.0
1.76,0.6,1.29,26.75
0.27,1.49,0.25,1.57
0.91,1.35,0.13,3.49
1.9,0.75,1.86,17.74
0.48,0.22,0.87,0.0
1.38,0.91,1.09,0.0
1.02,0.97,1.69,13.21
0.48,1.64,1.1,9.28
0.55,1.58,1.89,2.92
1.46,0.54,0.33,2.24
0.76,1.63,0.29,1.96
1.6,0.55,0.24,28.07
0.31,1.71,0.78,0.0
0.57,1.14,0.99,6.02
0.16,1.96,1.33,1.33
0.61,0.99,1.39,8.28
